City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
127,Kaitangata,NZ,56.28,-46.2817,169.8464,Hotel South Otago
129,Jieshi,CN,52.95,22.8134,115.8257,Yuehai Hotel
130,Geraldton,AU,84.61,-28.7667,114.6,Broadwater Mariner Resort
131,Hami,CN,19.99,42.8,93.45,Post And Telecommunication Hotel
132,Ribeira Grande,PT,58.68,38.5167,-28.7,Hotel do Canal | Horta - Faial
133,Mount Isa,AU,82.17,-20.7333,139.5,ibis Styles Mt Isa Verona
136,Puerto Baquerizo Moreno,EC,74.34,-0.9,-89.6,Hotel los Algarrobos
139,Te Anau,NZ,57.42,-45.4167,167.7167,Kingsgate Hotel Te Anau
140,Lompoc,US,64.78,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
141,Monrovia,LR,78.94,6.3005,-10.7969,Sunset Inn
143,Comodoro Rivadavia,AR,69.66,-45.8667,-67.5,Austral Hotel
145,Chuy,UY,65.79,-33.6971,-53.4616,Nuevo Hotel Plaza
146,Santa Cruz,BO,80.06,-17.8,-63.1667,Aviador Hotel Boutique
147,Saurimo,AO,62.8,-9.6608,20.3916,Hotel Kawissa Saurimo
148,Garissa,KE,75.54,-0.4536,39.6401,Sharif Plaza Hotel
151,Marzuq,YE,58.69,14.4,46.4667,
152,Ancud,CL,56.73,-41.8697,-73.8203,Hotel Arena Gruesa
153,Mahajanga,MG,77.02,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
154,Rawson,AR,79.29,-43.3002,-65.1023,Hosteria Sampedro
156,Georgetown,MY,81.9,5.4112,100.3354,Cititel Penang
157,Namibe,AO,70.57,-15.1961,12.1522,Hotel Chik Chik Namibe
158,Shimoda,JP,46.76,34.6667,138.95,Shimoda Tokyu Hotel
159,Westport,US,20.32,41.1415,-73.3579,Hilton Garden Inn Norwalk
160,Paciran,ID,81.09,-6.8767,112.3761,Tanjung Kodok Beach Resort
161,Ossora,RU,23.14,59.2353,163.0719,
162,Manta,EC,78.58,-0.95,-80.7333,Balandra Hotel
